时间,第一产业固定资产投资额累计增长(%),农林牧渔水利业固定资产投资额累计增长(%),第二产业固定资产投资额累计增长(%),工业固定资产投资额累计增长(%),能源工业固定资产投资额累计增长(%),煤炭固定资产投资额累计增长(%),石油固定资产投资额累计增长(%),电力固定资产投资额累计增长(%),原材料工业固定资产投资额累计增长(%),冶金固定资产投资额累计增长(%),有色固定资产投资额累计增长(%),化工固定资产投资额累计增长(%),森林固定资产投资额累计增长(%),机械电子工业固定资产投资额累计增长(%),机械固定资产投资额累计增长(%),电子固定资产投资额累计增长(%),轻纺工业固定资产投资额累计增长(%),纺织固定资产投资额累计增长(%),轻工固定资产投资额累计增长(%),其他工业固定资产投资额累计增长(%),建筑业固定资产投资额累计增长(%),第三产业固定资产投资额累计增长(%),运输邮电通信业固定资产投资额累计增长(%),邮电通信业固定资产投资额累计增长(%),商业饮食供销仓储业固定资产投资额累计增长(%),房地产公用服务咨询业固定资产投资额累计增长(%),文教卫生广播福利业固定资产投资额累计增长(%),科研综合技术服务业固定资产投资额累计增长(%),金融保险业固定资产投资额累计增长(%),其他行业固定资产投资额累计增长(%)
1999年2月,102,102,2.9,2,4.4,-20.2,-32.5,22.1,12.9,9.3,-24.3,22.1,30.7,-0.3,26.1,-24.3,9.4,-48.2,24.5,-45.7,85.5,44,61.4,112.5,187.3,29.6,29.7,19,31.7,25.5
1999年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年12月,47.8,47.8,3.4,3,6.7,-22.6,-1.3,15,-5.1,-1.4,-11.2,-6.3,-19.1,7.5,9.1,4.6,0.9,-13.6,5,-7.1,20.9,29.8,53.4,48.3,3.5,21.5,15.5,17.4,7.6,16.9
1998年11月,45.8,45.8,6.3,5.7,8.7,-28.6,,18.7,-3.3,-2.7,-12,-1.3,-31.9,16.9,23.7,5.4,8.9,3.7,10.3,-15.1,44,33.3,58,57.1,7.9,23.6,32.7,25.1,11.2,8.8
1998年10月,34,34,5.6,5,10,-23.3,-0.4,20.2,-4.7,-3.1,-12.3,-3.9,-29.3,10.7,17.2,-0.2,6.9,6.3,7,-17.1,44.7,32.5,57.1,65.5,7.6,22.7,30.3,27.5,12.3,11.1
1998年9月,29.8,29.8,5.9,5.4,10.6,-22.1,4,18.5,-6.3,-3,-15.1,-6.4,-30.9,13.3,23.9,-4.2,7.4,9,7,-17.2,45,30.3,49.9,66.5,7.1,24.1,30.5,16.7,10.3,7.7
1998年8月,20.9,20.9,6.1,5.5,11.9,-19.4,8.9,17.7,-9,-4.3,-17.3,-10.2,-26.8,12.3,24.4,-6.2,9.2,3.7,10.7,-18.1,45.1,25.9,43,68.4,9.1,21,26.4,20.9,12.3,1.3
1998年7月,18.4,18.4,5.3,4.8,11.6,-20,14.2,14.8,-8.6,-2.5,-19.8,-10.2,-25.5,11.1,19.8,-2.2,7.4,8.6,7.1,-20.7,42.5,23.4,38.9,65.1,7,19.1,30.5,12.8,13.9,-1.7
1998年6月,16.1,16.1,6,5.7,13,-20.8,15.9,16.4,-9.5,-5,-21.4,-9.8,-30.1,11.7,20.3,-1,9,14.2,7.4,-18.3,24.7,19.7,32.4,55.3,3.2,16.5,32.7,2.3,15.6,-4.7
1998年5月,10.4,10.4,6.6,6.3,16.7,-19.3,26.3,17,-13.3,-9.8,-19.8,-14.6,24.8,17.3,25.5,5.8,9.5,14.6,7.9,-28,28.5,17.7,31.9,51.1,7.8,15.6,32.7,2.5,4.4,-15.1
1998年4月,14.7,14.7,9.5,9.2,19.7,-5.4,35.7,16.3,-11.9,-13.5,-25.7,-7.4,68.7,35.2,30.1,43.8,-4.9,12.2,2.7,-26.1,40.3,14.2,26.5,60.1,2.3,12.6,32,5,-4.9,-14.9
1998年3月,9.6,9.6,7.3,7.5,15.6,-27.6,15.6,20.4,-12.3,-14.4,-43.1,-2,37.1,43,22.4,81.8,-5.8,7,-9.5,-10,-7.2,12.6,22.2,55.9,3.4,11,31,18,-4.3,-10.9
1998年2月,7.5,7.5,16.8,16.8,20,-41.3,30.5,20.4,0.6,5.4,-53.6,12.5,-18.2,79.4,38.8,144.9,-3.9,8.2,-6.6,16.6,19.6,5.8,5.1,50.8,4.2,12.4,30.1,76.2,-9,-28.4
1998年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
